category,status,section,line,declared,var,ctor,id,compare_id,modern_match,reason,migration_package
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1387,SimpleDustMaterial,ActiniumSuperhydride,SimpleDustMaterial,actinium_superhydride,actinium_superhydride,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,813,SimpleFluidMaterial,ActiniumSuperhydridePlasma,SimpleFluidMaterial,actinium_superhydride_plasma,actinium_superhydride_plasma,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,146,IsotopeMaterial,Americium241,IsotopeMaterial,,americium241,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,147,IsotopeMaterial,Americium243,IsotopeMaterial,,americium243,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,148,IsotopeMaterial,Americium245,IsotopeMaterial,,americium245,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,145,RadioactiveMaterial,AmericiumRadioactive,RadioactiveMaterial,,americium_radioactive,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NEW ELEMENTS,84,RadioactiveMaterial,Berkelium,RadioactiveMaterial,berkelium,berkelium,Berkelium,"id->Berkelium, field",deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,158,IsotopeMaterial,Berkelium247,IsotopeMaterial,,berkelium247,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,159,IsotopeMaterial,Berkelium249,IsotopeMaterial,,berkelium249,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,160,IsotopeMaterial,Berkelium251,IsotopeMaterial,,berkelium251,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NEW ELEMENTS,85,RadioactiveMaterial,Californium,RadioactiveMaterial,californium,californium,Californium,"id->Californium, field",deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,163,IsotopeMaterial,Californium251,IsotopeMaterial,,californium251,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,164,IsotopeMaterial,Californium252,IsotopeMaterial,,californium252,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,165,IsotopeMaterial,Californium253,IsotopeMaterial,,californium253,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,166,IsotopeMaterial,Californium256,IsotopeMaterial,,californium256,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,167,IsotopeMaterial,Californium257,IsotopeMaterial,,californium257,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,947,SimpleFluidMaterial,CaliforniumCyclopentadienide,SimpleFluidMaterial,californiumcyclopentadienide,californiumcyclopentadienide,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1404,SimpleDustMaterial,CaliforniumTrichloride,SimpleDustMaterial,californiumtrichloride,californiumtrichloride,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE DUSTS,1403,SimpleDustMaterial,CaliforniumTrioxide,SimpleDustMaterial,californiumtrioxide,californiumtrioxide,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NEW ELEMENTS,83,RadioactiveMaterial,Curium,RadioactiveMaterial,curium,curium,Curium,"id->Curium, field",deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,151,IsotopeMaterial,Curium245,IsotopeMaterial,,curium245,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,152,IsotopeMaterial,Curium246,IsotopeMaterial,,curium246,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,153,IsotopeMaterial,Curium247,IsotopeMaterial,,curium247,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,154,IsotopeMaterial,Curium250,IsotopeMaterial,,curium250,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,155,IsotopeMaterial,Curium251,IsotopeMaterial,,curium251,,,deferred/nuclear
Deferred Nuclear-Like,deferred,FLUID MATERIALS,216,FluidMaterial,DenseHydrazineFuelMixture,FluidMaterial,dense_hydrazine_fuel_mixture,dense_hydrazine_fuel_mixture,,,chemistry/petrochem_fuels
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,559,SimpleFluidMaterial,DepletedGrowthMedium,SimpleFluidMaterial,depleted_growth_medium,depleted_growth_medium,,,chemistry/biotech
Deferred Nuclear-Like,deferred,NEW ELEMENTS,86,RadioactiveMaterial,Einsteinium,RadioactiveMaterial,einsteinium,einsteinium,Einsteinium,"id->Einsteinium, field",deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,170,IsotopeMaterial,Einsteinium253,IsotopeMaterial,,einsteinium253,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,171,IsotopeMaterial,Einsteinium255,IsotopeMaterial,,einsteinium255,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,172,IsotopeMaterial,Einsteinium257,IsotopeMaterial,,einsteinium257,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NEW ELEMENTS,87,RadioactiveMaterial,Fermium,RadioactiveMaterial,fermium,fermium,Fermium,"id->Fermium, field",deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,175,IsotopeMaterial,Fermium257,IsotopeMaterial,,fermium257,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,176,IsotopeMaterial,Fermium258,IsotopeMaterial,,fermium258,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,177,IsotopeMaterial,Fermium259,IsotopeMaterial,,fermium259,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,178,IsotopeMaterial,Fermium262,IsotopeMaterial,,fermium262,,,deferred/nuclear
Deferred Nuclear-Like,deferred,NUCLEAR MATERIALS,179,IsotopeMaterial,Fermium263,IsotopeMaterial,,fermium263,,,deferred/nuclear
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,511,SimpleFluidMaterial,HeavyENaquadahFuel,SimpleFluidMaterial,heavy_e_naquadah_fuel,heavy_e_naquadah_fuel,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,496,SimpleFluidMaterial,HeavyNaquadahFuel,SimpleFluidMaterial,heavy_naquadah_fuel,heavy_naquadah_fuel,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,727,SimpleFluidMaterial,HotMetastableOganesson,SimpleFluidMaterial,hot_oganesson,hot_oganesson,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,513,SimpleFluidMaterial,HyperFuelI,SimpleFluidMaterial,hyper_fluid_i,hyper_fluid_i,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,514,SimpleFluidMaterial,HyperFuelII,SimpleFluidMaterial,hyper_fluid_ii,hyper_fluid_ii,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,515,SimpleFluidMaterial,HyperFuelIII,SimpleFluidMaterial,hyper_fluid_iii,hyper_fluid_iii,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,516,SimpleFluidMaterial,HyperFuelIV,SimpleFluidMaterial,hyper_fluid_iv,hyper_fluid_iv,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,509,SimpleFluidMaterial,LightENaquadahFuel,SimpleFluidMaterial,light_e_naquadah_fuel,light_e_naquadah_fuel,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,494,SimpleFluidMaterial,LightNaquadahFuel,SimpleFluidMaterial,light_naquadah_fuel,light_naquadah_fuel,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,510,SimpleFluidMaterial,MediumENaquadahFuel,SimpleFluidMaterial,medium_e_naquadah_fuel,medium_e_naquadah_fuel,,,high_energy/particles_and_exotics
Deferred Nuclear-Like,deferred,SIMPLE FLUID MATERIALS,495,SimpleFluidMaterial,MediumNaquadahFuel,SimpleFluidMaterial,medium_naquadah_fuel,medium_naquadah_fuel,,,high_energy/particles_and_exotics
